time,dipole
9.499999999999994671e+00,-2.072555573917901073e-01
9.524999999999993250e+00,-2.026431486575125118e-01
9.549999999999991829e+00,-1.979836384462841936e-01
9.574999999999990408e+00,-1.932744977723168944e-01
9.599999999999988987e+00,-1.885140513198649836e-01
9.624999999999987566e+00,-1.837017643821512169e-01
9.649999999999986144e+00,-1.788381057323761014e-01
9.674999999999984723e+00,-1.739243505956242219e-01
9.699999999999983302e+00,-1.689629873114993908e-01
9.724999999999981881e+00,-1.639570486407127825e-01
9.749999999999980460e+00,-1.589093067720021291e-01
9.774999999999979039e+00,-1.538211172150228678e-01
9.799999999999977618e+00,-1.486919365222457434e-01
9.824999999999976197e+00,-1.435197685628854525e-01
9.849999999999974776e+00,-1.383020931333001080e-01
9.874999999999973355e+00,-1.330368352597192105e-01
9.899999999999971934e+00,-1.277231489837696854e-01
9.924999999999970512e+00,-1.223617612807370997e-01
9.949999999999969091e+00,-1.169544303077664077e-01
9.974999999999967670e+00,-1.115028476354631010e-01
9.999999999999966249e+00,-1.060077161965086029e-01
1.002499999999996483e+01,-1.004689159748019811e-01
1.004999999999996341e+01,-9.488658814920533646e-02
1.007499999999996199e+01,-8.926139787912075463e-02
1.009999999999996056e+01,-8.359460052499491367e-02
1.012499999999995914e+01,-7.788742158584568975e-02
1.014999999999995772e+01,-7.214038230250624517e-02
1.017499999999995630e+01,-6.635337958588369278e-02
1.019999999999995488e+01,-6.052649393880159268e-02
1.022499999999995346e+01,-5.466086287880270178e-02
1.024999999999995204e+01,-4.875867855924273520e-02
1.027499999999995062e+01,-4.282242966868829437e-02
1.029999999999994920e+01,-3.685414105112896910e-02
1.032499999999994778e+01,-3.085515473778084605e-02
1.034999999999994635e+01,-2.482615788823325231e-02
1.037499999999994493e+01,-1.876653035483821785e-02
1.039999999999994351e+01,-1.267360195097985698e-02
1.042499999999994209e+01,-6.542538347883042338e-03
1.044999999999994067e+01,-3.672049927643805667e-04
1.047499999999993925e+01,5.858418265925702251e-03
1.049999999999993783e+01,1.213903438407976099e-02
1.052499999999993641e+01,1.847772818503470860e-02
1.054999999999993499e+01,2.487542938004994042e-02
1.057499999999993356e+01,3.133110392060783900e-02
1.059999999999993214e+01,3.784300644823673787e-02
1.062499999999993072e+01,4.441019466117232528e-02
1.064999999999992930e+01,5.103326861103421597e-02
1.067499999999992788e+01,5.771366049603451898e-02
1.069999999999992646e+01,6.445233307683401192e-02
1.072499999999992504e+01,7.124862360309505704e-02
1.074999999999992362e+01,7.809998054991620919e-02
1.077499999999992220e+01,8.500313990351991700e-02
